start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1761099900,1761099960,2025-10-22T02:25:00+00:00,2025-10-22T02:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099960,1761100020,2025-10-22T02:26:00+00:00,2025-10-22T02:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100020,1761100080,2025-10-22T02:27:00+00:00,2025-10-22T02:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100080,1761100140,2025-10-22T02:28:00+00:00,2025-10-22T02:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100140,1761100200,2025-10-22T02:29:00+00:00,2025-10-22T02:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100200,1761100260,2025-10-22T02:30:00+00:00,2025-10-22T02:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100260,1761100320,2025-10-22T02:31:00+00:00,2025-10-22T02:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100320,1761100380,2025-10-22T02:32:00+00:00,2025-10-22T02:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100380,1761100440,2025-10-22T02:33:00+00:00,2025-10-22T02:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100440,1761100500,2025-10-22T02:34:00+00:00,2025-10-22T02:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100500,1761100560,2025-10-22T02:35:00+00:00,2025-10-22T02:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100560,1761100620,2025-10-22T02:36:00+00:00,2025-10-22T02:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1761100620,1761100680,2025-10-22T02:37:00+00:00,2025-10-22T02:38:00+00:00,,,,,,,,,,,,,,,,,,,,
